scenario_idx,base,method,delta,direction_idx,iter,loss
8,tonic,nm,0.1,8,18,0.368993878364563
8,tonic,nm,0.1,8,19,0.16837885975837708
8,tonic,nm,0.1,8,20,0.351028710603714
8,tonic,nm,0.1,8,21,0.16012470424175262
8,tonic,nm,0.1,8,22,0.2562026381492615
8,tonic,nm,0.1,8,23,0.14743663370609283
8,tonic,nm,0.1,8,24,0.22848191857337952
9,tonic,grad,0.1,9,0,1.5264370441436768
9,tonic,grad,0.1,9,1,0.1385807991027832
9,tonic,grad,0.1,9,2,0.7245513200759888
9,tonic,grad,0.1,9,3,0.7707648873329163
9,tonic,grad,0.1,9,4,0.31232038140296936
9,tonic,grad,0.1,9,5,0.08482255041599274
9,tonic,grad,0.1,9,6,0.1976357400417328
9,tonic,grad,0.1,9,7,0.3749011158943176
9,tonic,grad,0.1,9,8,0.3962688744068146
9,tonic,grad,0.1,9,9,0.2662915885448456
9,tonic,grad,0.1,9,10,0.10878743976354599
9,tonic,grad,0.1,9,11,0.04459094628691673
9,tonic,grad,0.1,9,12,0.09636502712965012
9,tonic,grad,0.1,9,13,0.18103933334350586
9,tonic,grad,0.1,9,14,0.19946908950805664
9,tonic,grad,0.1,9,15,0.13739502429962158
9,tonic,grad,0.1,9,16,0.06103985011577606
9,tonic,grad,0.1,9,17,0.03270922228693962
9,tonic,grad,0.1,9,18,0.06080808863043785
9,tonic,grad,0.1,9,19,0.10509898513555527
9,tonic,grad,0.1,9,20,0.12115289270877838
9,tonic,grad,0.1,9,21,0.0973048135638237
9,tonic,grad,0.1,9,22,0.056856125593185425
9,tonic,grad,0.1,9,23,0.033771760761737823
9,tonic,grad,0.1,9,24,0.043819185346364975
9,tonic,nm,0.1,9,0,1.5264370441436768
9,tonic,nm,0.1,9,1,1.3783738613128662
9,tonic,nm,0.1,9,2,3.8627262115478516
9,tonic,nm,0.1,9,3,0.921936571598053
9,tonic,nm,0.1,9,4,16.19293785095215
9,tonic,nm,0.1,9,5,0.6465794444084167
9,tonic,nm,0.1,9,6,0.22543193399906158
9,tonic,nm,0.1,9,7,0.7179110646247864
9,tonic,nm,0.1,9,8,1.3749350309371948
9,tonic,nm,0.1,9,9,0.5533513426780701
9,tonic,nm,0.1,9,10,4.1444621086120605
9,tonic,nm,0.1,9,11,0.20361022651195526
9,tonic,nm,0.1,9,12,0.14320474863052368
9,tonic,nm,0.1,9,13,0.40266352891921997
9,tonic,nm,0.1,9,14,0.8290932178497314
9,tonic,nm,0.1,9,15,0.2286837249994278
9,tonic,nm,0.1,9,16,0.3941222131252289
9,tonic,nm,0.1,9,17,0.1344805359840393
9,tonic,nm,0.1,9,18,0.3623218238353729
9,tonic,nm,0.1,9,19,0.13529936969280243
9,tonic,nm,0.1,9,20,0.1880989819765091
9,tonic,nm,0.1,9,21,0.12866832315921783
9,tonic,nm,0.1,9,22,0.4667697846889496
9,tonic,nm,0.1,9,23,0.09450706839561462
9,tonic,nm,0.1,9,24,0.07697103917598724
10,tonic,grad,0.1,10,0,0.2512609362602234
10,tonic,grad,0.1,10,1,0.6934676170349121
10,tonic,grad,0.1,10,2,0.182259663939476
10,tonic,grad,0.1,10,3,0.15716630220413208
10,tonic,grad,0.1,10,4,0.3300797641277313
10,tonic,grad,0.1,10,5,0.264098584651947
10,tonic,grad,0.1,10,6,0.0936514139175415
10,tonic,grad,0.1,10,7,0.036909669637680054
10,tonic,grad,0.1,10,8,0.11089016497135162
10,tonic,grad,0.1,10,9,0.15540583431720734
10,tonic,grad,0.1,10,10,0.10013913363218307
10,tonic,grad,0.1,10,11,0.029297512024641037
10,tonic,grad,0.1,10,12,0.024157116189599037
10,tonic,grad,0.1,10,13,0.06999959796667099
10,tonic,grad,0.1,10,14,0.09798399358987808
10,tonic,grad,0.1,10,15,0.0776781290769577
10,tonic,grad,0.1,10,16,0.03899803012609482
10,tonic,grad,0.1,10,17,0.026620730757713318
10,tonic,grad,0.1,10,18,0.04867079481482506
10,tonic,grad,0.1,10,19,0.07192422449588776
10,tonic,grad,0.1,10,20,0.06538960337638855
10,tonic,grad,0.1,10,21,0.04095061123371124
10,tonic,grad,0.1,10,22,0.027129586786031723
10,tonic,grad,0.1,10,23,0.0354098379611969
10,tonic,grad,0.1,10,24,0.04856262728571892
10,tonic,nm,0.1,10,0,0.2512609362602234
10,tonic,nm,0.1,10,1,0.23768207430839539
10,tonic,nm,0.1,10,2,7.711606025695801
10,tonic,nm,0.1,10,3,0.07608317583799362
10,tonic,nm,0.1,10,4,10.169106483459473
10,tonic,nm,0.1,10,5,2.4401142597198486
10,tonic,nm,0.1,10,6,3.8706934452056885
10,tonic,nm,0.1,10,7,0.7683289051055908
10,tonic,nm,0.1,10,8,1.6006501913070679
